date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
2/28/2025,Friday,Prathama,15:46:30,P.Bhadrapada,23:52:24,Shukla ,,,,
3/1/2025,Saturday,Dvitiiya,12:39:34,U.Bhadrapada,21:29:08,Shukla ,Girija Kalyanam,,,
3/2/2025,Sunday,Tritiiya,9:32:15,Revati,19:08:55,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
3/3/2025,Monday,Panchami,27:46:51+,Ashvini,16:59:29,Shukla ,,,,
3/4/2025,Tuesday,Shashthi,25:21:34+,Bharani,15:07:26,Shukla ,,,,
3/5/2025,Wednesday,Saptami,23:21:10,Krittika,13:38:07,Shukla ,,,,
3/6/2025,Thursday,Ashtami,21:48:54,Rohini,12:35:25,Shukla ,,,,
3/7/2025,Friday,Navami,20:46:45,Mrigashirsha,12:01:48,Shukla ,,Maha Lakshmi Abhishekam ,,
3/8/2025,Saturday,Dashami,20:15:30,Aardra,11:58:21,Shukla ,,,,
3/9/2025,Sunday,Ekadashi,21:14:58,Punarvasu,13:25:05,Shukla ,,Chinmaya Shripati Abhishekam,10:00 a - BalaVihar & Vedanta Classes,
3/10/2025,Monday,Dvadashi,21:44:15,Pushya,14:21:10,Shukla ,,,,
3/11/2025,Tuesday,Trayodashi,22:41:55,Aslesha,15:45:12,Shukla ,,,,
3/12/2025,Wednesday,Chaturdashi,24:06:07+,Magha,17:35:22,Shukla ,,,,
3/13/2025,Thursday,Purnima,25:54:23+,P.Phalguni,19:49:19,Shukla ,,Sri SatyaNarayana Puja,,Holi
3/14/2025,Friday,Prathama,28:03:23+,U.Phalguni,22:23:59,Krishna ,,,,
3/15/2025,Saturday,Dvitiiya,30:28:29+,Hasta,25:15:07+,Krishna ,,,,
3/16/2025,Sunday,Tritiiya,full,Chitra,28:16:53+,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
3/17/2025,Monday,Tritiiya,9:03:18,Svaati,31:21:37+,Krishna ,,Sankatahara Ganapati Puja,,
3/18/2025,Tuesday,Chaturthi,11:39:33,Vishaakha, full night,Krishna ,,,,
3/19/2025,Wednesday,Panchami,14:07:17,Vishaakha,10:19:58,Krishna ,,,,
3/20/2025,Thursday,Shashthi,16:15:38,Anuraadha,13:01:27,Krishna ,,,,
3/21/2025,Friday,Saptami,17:54:04,Jyeshtha,15:15:37,Krishna ,,,,
3/22/2025,Saturday,Ashtami,18:53:39,Mula,16:53:22,Krishna ,,,,
3/23/2025,Sunday,Navami,19:08:19,P.shadha,17:48:08,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
3/24/2025,Monday,Dashami,18:35:24,U.shada,17:56:40,Krishna ,,,,
3/25/2025,Tuesday,Ekadashi,17:15:41,Shravana,17:19:16,Krishna ,,,,
3/26/2025,Wednesday,Dvadashi,15:13:02,Dhanishta,15:59:29,Krishna ,,Pradosha Shiva Abhishekam,,
3/27/2025,Thursday,Trayodashi,12:33:39,Shatabhisha,14:03:28,Krishna ,,,,
3/28/2025,Friday,Chaturdashi,9:25:28,P.Bhadrapada,11:39:18,Krishna ,,,,
3/29/2025,Saturday,Prathama,26:19:32+,U.Bhadrapada,8:56:22,Shukla ,Chandramana Ugadi -,,,
3/30/2025,Sunday,Dvitiiya,22:41:17,Ashvini,27:14:45+,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
3/31/2025,Monday,Tritiiya,19:12:33,Bharani,24:36:32+,Shukla ,,,,
4/1/2025,Tuesday,Chaturthi,16:02:37,Krittika,22:19:33,Shukla ,,,,
4/2/2025,Wednesday,Panchami,13:19:57,Rohini,20:32:09,Shukla ,,,,
