date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
9/20/2025,Saturday,Chaturdashi,13:47:04,P.Phalguni,23:01:57,Krishna ,,,,
9/21/2025,Sunday,Amavasya,14:53:51,U.Phalguni,24:53:59+,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,Sarva Pitru Amavasya
9/22/2025,Monday,Prathama,16:26:14,Hasta,27:09:50+,Shukla ,Sharad navarati - Kalasha Stapana,,,
9/23/2025,Tuesday,Dvitiiya,18:21:48,Chitra,29:46:21+,Shukla ,,,,
9/24/2025,Wednesday,Tritiiya,20:36:19,Svaati,full night,Shukla ,,,,
9/25/2025,Thursday,Chaturthi,23:03:18,Svaati,8:38:29,Shukla ,,,,
9/26/2025,Friday,Panchami,25:33:56+,Vishaakha,11:38:52,Shukla ,,MahaLakshmi Abhishekam,,
9/27/2025,Saturday,Shashthi,27:57:24+,Anuraadha,14:37:56,Shukla ,,,,
9/28/2025,Sunday,Saptami,30:01:57+,Jyeshtha,17:24:35,Shukla ,Saraswati Puja,,10:00 a - BalaVihar & Vedanta Classes,
9/29/2025,Monday,Ashtami,full,Mula,19:47:22,Shukla ,Durga ashtmai,,,
9/30/2025,Tuesday,Ashtami,7:36:20,P.shadha,21:36:05,Shukla ,,,,
10/1/2025,Wednesday,Navami,8:31:24,U.shada,22:43:04,Shukla ,Vijaya Dashami - Temple Anniversary,Chinmaya Shripati Abhishekam,,
10/2/2025,Thursday,Dashami,8:41:11,Shravana,23:04:12,Shukla ,,,,
10/3/2025,Friday,Ekadashi,8:03:28,Dhanishta,22:39:09,Shukla ,,,,
10/4/2025,Saturday,Trayodashi,28:34:14+,Shatabhisha,21:31:03,Shukla ,Shripati Kalyanam,,,
10/5/2025,Sunday,Chaturdashi,25:53:59+,P.Bhadrapada,19:45:51,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
10/6/2025,Monday,Purnima,22:47:20,U.Bhadrapada,17:31:38,Shukla ,,Sri SatyaNarayana Puja,,
10/7/2025,Tuesday,Prathama,19:23:39,Revati,14:57:51,Krishna ,,,,
10/8/2025,Wednesday,Dvitiiya,15:52:48,Ashvini,12:14:39,Krishna ,,,,
10/9/2025,Thursday,Tritiiya,12:24:40,Bharani,9:32:22,Krishna ,,Sankatahara Ganapati Puja,,Karwa Chauth
10/10/2025,Friday,Chaturthi,9:08:44,Rohini,28:49:48+,Krishna ,,,,
10/11/2025,Saturday,Shashthi,27:47:09+,Mrigashirsha,27:06:24+,Krishna ,,,,
10/12/2025,Sunday,Saptami,25:54:39+,Aardra,25:56:42+,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
10/13/2025,Monday,Ashtami,24:39:51+,Punarvasu,25:24:09+,Krishna ,,,,
10/14/2025,Tuesday,Navami,24:03:58+,Pushya,25:29:43+,Krishna ,,,,
10/15/2025,Wednesday,Dashami,24:05:51+,Aslesha, 26:11:56+,Krishna ,,,,
10/16/2025,Thursday,Ekadashi,24:42:26+,Magha, 27:27:22+,Krishna ,,,,
10/17/2025,Friday,Dvadashi,25:49:24+,P.Phalguni,29:11:31+,Krishna ,,,,
10/18/2025,Saturday,Trayodashi,27:21:53+,U.Phalguni,31:19:28+,Krishna ,,Pradosha Shiva Puja,,
10/19/2025,Sunday,Chaturdashi,29:15:10+,Hasta, full night,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
10/20/2025,Monday,Amavasya,full,Hasta,9:46:33,Krishna ,Deepavali - Lakshmi Puja,,,
10/21/2025,Tuesday,Amavasya,7:24:53,Chitra,12:28:33,Krishna ,,,,
10/22/2025,Wednesday,Prathama,9:46:56,Svaati,15:21:25,Shukla ,,,,
10/23/2025,Thursday,Dvitiiya,12:16:58,Vishaakha,18:20:49,Shukla ,,,,
10/24/2025,Friday,Tritiiya,14:49:43,Anuraadha,21:21:25,Shukla ,,,,
10/25/2025,Saturday,Chaturthi,17:18:32,Jyeshtha,24:16:23+,Shukla ,,,,
10/26/2025,Sunday,Panchami,19:35:07,Mula,26:57:22+,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
10/27/2025,Monday,Shashthi,21:29:59,P.shadha,29:14:54+,Shukla ,Skanda Shashti,,,Chhath Puja
10/28/2025,Tuesday,Saptami,22:53:23,U.shada,30:59:35+,Shukla ,,,,
10/29/2025,Wednesday,Ashtami,23:36:45,Shravana,full night,Shukla ,,,,
10/30/2025,Thursday,Navami,23:33:53,Shravana,8:03:23,Shukla ,,,,
10/31/2025,Friday,Dashami,22:41:59,Dhanishta,8:20:57,Shukla ,,,,
11/1/2025,Saturday,Ekadashi,21:01:49,Shatabhisha,7:50:23,Shukla ,,Chinmaya Shripati Abhishekam,,
11/2/2025,Sunday,Dvadashi,17:37:33,U.Bhadrapada,27:35:30+,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
11/3/2025,Monday,Trayodashi,14:36:07,Revati,25:04:21+,Shukla ,,,,
11/4/2025,Tuesday,Chaturdashi,11:06:29,Ashvini,22:10:02,Shukla ,,Shri SatyaNarayana Puja,,
11/5/2025,Wednesday,Purnima,7:19:01,Bharani,19:03:48,Shukla ,,,,
11/6/2025,Thursday,Dvitiiya,23:35:33,Krittika,15:57:33,Krishna ,,,,
11/7/2025,Friday,Tritiiya,20:02:19,Rohini,13:03:14,Krishna ,,,,
11/8/2025,Saturday,Chaturthi,16:55:50,Mrigashirsha,10:32:11,Krishna ,,Sankatahara Ganapati Puja,,
11/9/2025,Sunday,Panchami,14:25:26,Aardra,8:34:27,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
11/10/2025,Monday,Shashthi,12:38:22,Punarvasu,7:17:58,Krishna ,,,,
11/11/2025,Tuesday,Saptami,11:39:06,Pushya,6:47:44,Krishna ,,,,
11/12/2025,Wednesday,Ashtami,11:28:38,Aslesha,7:05:11,Krishna ,,,,
11/13/2025,Thursday,Navami,12:04:16,Magha,8:07:58,Krishna ,,,,
11/14/2025,Friday,Dashami,13:19:59,P.Phalguni,9:50:21,Krishna ,,,,
11/15/2025,Saturday,Ekadashi,15:07:33,U.Phalguni,12:04:14,Krishna ,,,,
11/16/2025,Sunday,Dvadashi,17:17:50,Hasta,14:40:42,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
11/17/2025,Monday,Trayodashi,19:42:18,Chitra,17:31:18,Krishna ,,Pradosha Shiva Puja,,
11/18/2025,Tuesday,Chaturdashi,22:13:50,Svaati,20:29:01,Krishna ,,,,
11/19/2025,Wednesday,Amavasya,24:46:59+,Vishaakha,23:28:29,Krishna ,,,,
11/20/2025,Thursday,Prathama,27:17:29+,Anuraadha,26:25:35+,Shukla ,,,,
11/21/2025,Friday,Dvitiiya,29:41:34+,Jyeshtha,29:16:39+,Shukla ,,,,
11/22/2025,Saturday,Tritiiya,full,Mula,full night,Shukla ,,,,
11/23/2025,Sunday,Tritiiya,7:54:58,Mula,7:57:38,Shukla ,,,No BalaVihar & Vedanta Classes,
11/24/2025,Monday,Chaturthi,9:52:23,P.shadha,10:23:21,Shukla ,,,,
11/25/2025,Tuesday,Panchami,11:27:14,U.shada,12:27:25,Shukla ,,,,
11/26/2025,Wednesday,Shashthi,12:32:13,Shravana,14:02:35,Shukla ,,,,
11/27/2025,Thursday,Saptami,13:00:13,Dhanishta,15:01:48,Shukla ,,,,
11/28/2025,Friday,Ashtami,12:45:37,Shatabhisha,15:19:23,Shukla ,,,,
11/29/2025,Saturday,Navami,11:45:19,P.Bhadrapada,14:52:15,Shukla ,,,,
11/30/2025,Sunday,Dashami,9:59:26,U.Bhadrapada,13:40:37,Shukla ,Bhagavad Gita Jayanti,,10:00 a - BalaVihar & Vedanta Classes,
12/1/2025,Monday,Ekadashi,7:31:22,Revati,11:48:06,Shukla ,,Chinmaya Shripati Abhishekam,,
12/2/2025,Tuesday,Trayodashi,24:56:07+,Ashvini,9:21:24,Shukla ,,,,
12/3/2025,Wednesday,Chaturdashi,21:07:49,Krittika,27:23:54+,Shukla ,,,,
12/4/2025,Thursday,Purnima,17:13:47,Rohini,24:16:00+,Shukla ,Dattatreya Jayanti,Sri SatyaNarayana Puja,,
12/5/2025,Friday,Prathama,13:25:51,Mrigashirsha,21:18:23,Krishna ,,,,
12/6/2025,Saturday,Dvitiiya,9:55:51,Aardra,18:43:10,Krishna ,,,,
12/7/2025,Sunday,Chaturthi,28:33:32+,Punarvasu,16:41:27,Krishna ,,Sankatahara Ganapati Puja,Gita Jayanti Celebration,
12/8/2025,Monday,Panchami,26:59:09+,Pushya,15:22:27,Krishna ,,,,
12/9/2025,Tuesday,Shashthi,26:16:47+,Aslesha,14:52:29,Krishna ,,,,
12/10/2025,Wednesday,Saptami,26:27:17+,Magha,15:14:05,Krishna ,,,,
12/11/2025,Thursday,Ashtami,27:27:02+,P.Phalguni,16:25:20,Krishna ,,,,
12/12/2025,Friday,Navami,29:08:12+,U.Phalguni,18:19:56,Krishna ,,,,
12/13/2025,Saturday,Dashami,full,Hasta,20:48:09,Krishna ,,,,
12/14/2025,Sunday,Dashami,7:19:58,Chitra,23:38:25,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
12/15/2025,Monday,Ekadashi,9:50:13,Svaati,26:39:20+,Krishna ,,,,
12/16/2025,Tuesday,Dvadashi,12:27:36,Vishaakha,29:41:08+,Krishna ,,Pradosha Shiva Puja,,
12/17/2025,Wednesday,Trayodashi,15:02:52,Anuraadha,full night,Krishna ,,,,
12/18/2025,Thursday,Chaturdashi,17:29:24,Anuraadha,8:36:35,Krishna ,,,,
12/19/2025,Friday,Amavasya,19:43:03,Jyeshtha,11:20:57,Krishna ,,,,
12/20/2025,Saturday,Prathama,21:41:15,Mula,13:51:21,Shukla ,,,,
12/21/2025,Sunday,Dvitiiya,23:22:00,P.shadha,16:05:43,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
12/22/2025,Monday,Tritiiya,24:43:02+,U.shada,18:02:00,Shukla ,,,,
12/23/2025,Tuesday,Chaturthi,25:41:18+,Shravana,19:37:22,Shukla ,,,,
12/24/2025,Wednesday,Panchami,26:12:56+,Dhanishta,20:48:09,Shukla ,,,,
12/25/2025,Thursday,Shashthi,26:13:45+,Shatabhisha,21:30:09,Shukla ,,,,
12/26/2025,Friday,Saptami,25:40:06+,P.Bhadrapada,21:39:22,Shukla ,,Maha Lakshmi Abhishekam,,
12/27/2025,Saturday,Ashtami,24:29:44+,U.Bhadrapada,21:13:06,Shukla ,,,,
12/28/2025,Sunday,Navami,22:42:39,Revati,20:10:41,Shukla ,,,No  BalaVihar & Vedanta Classes,
12/29/2025,Monday,Dashami,20:21:19,Ashvini,18:34:07,Shukla ,,,,
12/30/2025,Tuesday,Ekadashi,17:30:46,Bharani,16:28:06,Shukla ,Vaikuntha Ekadashi,,,
12/31/2025,Wednesday,Dvadashi,14:18:11,Krittika,13:59:44,Shukla ,,,,
